time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-01T23:10:34.320Z,61.2191,-146.8976,14.6,3.7,ml,,,,0.6,ak,ak0198ddkciq,2019-07-02T01:02:34.417Z,"31km WNW of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-07-01T23:03:09.347Z,64.9597,-147.3443,2.7,1.2,ml,,,,0.19,ak,ak0198ddisnq,2019-07-01T23:07:29.857Z,"19km NNE of Badger, Alaska",earthquake,,1,,,automatic,ak,ak
2019-07-01T23:01:08.633Z,64.8059,-152.3085,12.8,1.3,ml,,,,1.06,ak,ak0198ddid5z,2019-07-01T23:05:49.111Z,"42km SSW of Tanana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T22:59:41.410Z,36.5498,-116.6208,12.2,0.7,ml,18,82.81,0.055,0.16,nn,nn00688987,2019-07-01T23:03:54.251Z,"41km SSE of Beatty, Nevada",earthquake,,1.6,,,automatic,nn,nn
2019-07-01T22:58:09.098Z,2.2594,96.168,22.99,4.8,mb,,166,1.697,0.7,us,us700048g4,2019-07-01T23:52:00.040Z,"33km SW of Sinabang, Indonesia",earthquake,8.7,6.2,0.07,63,reviewed,us,us
2019-07-01T22:56:40.670Z,37.5458333,-118.9815,10.08,0.68,md,13,155,0.07322,0.04,nc,nc73204526,2019-07-02T03:27:06.222Z,"10km S of Mammoth Lakes, CA",earthquake,0.74,0.94,0.285,11,reviewed,nc,nc
2019-07-01T22:53:27.247Z,61.3107,-152.4153,3.3,1.5,ml,,,,1.05,ak,ak0198dd848k,2019-07-01T23:27:19.366Z,"92km NW of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-07-01T22:47:58.349Z,66.2892,-157.4456,0.1,1.3,ml,,,,1.04,ak,ak0198dd6wag,2019-07-01T22:52:04.662Z,"73km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-07-01T22:38:29.580Z,39.0546667,-123.3441667,5.11,0.66,md,6,98,0.1242,0.04,nc,nc73204516,2019-07-02T01:47:17.755Z,"5km NNE of Boonville, CA",earthquake,0.36,2.65,0.034,4,reviewed,nc,nc
2019-07-01T22:30:36.010Z,38.8033333,-122.8166656,2.6,0.88,md,9,134,0.01123,0.05,nc,nc73204506,2019-07-01T22:55:03.526Z,"6km WNW of The Geysers, CA",earthquake,1.33,0.76,,1,automatic,nc,nc
2019-07-01T22:26:56.350Z,38.8336678,-122.8115005,1.97,0.96,md,18,58,,0.03,nc,nc73204501,2019-07-01T22:44:03.465Z,"8km W of Cobb, CA",earthquake,0.24,0.5,0.12,4,automatic,nc,nc
2019-07-01T22:19:48.840Z,66.2481,-157.306,6.1,1.6,ml,,,,0.85,ak,ak0198dd0vk8,2019-07-01T22:23:08.375Z,"75km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T22:17:01.842Z,66.3593,-157.4993,12.6,2.8,ml,,,,0.78,ak,ak0198dd0cfj,2019-07-01T23:41:55.040Z,"66km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-01T22:16:40.197Z,36.54256439,-98.97884369,4.95131731,2.25,ml,14,151.3668365,0.05045532063,0.3626156698,ok,ok2019mukd,2019-07-01T22:19:24.149Z,"23km ENE of Mooreland, Oklahoma",earthquake,4.797319412,2.304386503,,12,automatic,ok,ok
2019-07-01T22:16:31.430Z,60.1091,-139.9618,8.9,1.6,ml,,,,0.77,ak,ak0198dd072f,2019-07-01T22:19:16.468Z,"63km NNW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
